flight, total cost 15 min. delay (€), total cost 30 min. delay (€), total cost 60 min. delay (€)
RT143023,165750,1126500,14521500
RT148174,8250,28500,4179000
AR53991,5250,10500,13120500
XC147660,17250,3997500,43406250
RT3116,2250,1177500,30909750
ED83562,678750,5580000,42712500
RY160133,3000,585000,18980250
AR96252,1553250,7158000,39794250
RY80962,27000,2608500,32389500
AR191842,432750,2860500,36034500
AR158692,6750,1445250,24712500
FT21098,544500,5473500,43118250
RY93628,946500,6879750,54091500
ED10128,786000,7428000,54669750
RT102231,3084000,16206000,76346250
RY41756,388500,6444750,55400250
AR2068,43500,2340750,26229000
FT39456,1513500,13227750,72848250
AR153164,4500,2524500,28662750
AR18214,315750,3261000,35028000
RY84597,192750,3398250,37611750
KJ111680,338250,3516750,37449750
KJ205127,3235500,15852000,74445000
RT104577,6750,467250,21331500
ED147590,1390500,10224750,65295750
FT102289,39750,2848500,35713500
FT2786,21750,5361750,47445000
FT201529,1863750,7644000,45357000
XC48984,1500,3000,648000
ED188630,1734000,10256250,59598750
ED46849,2250,1028250,19509750
RY106457,608250,3502500,32304000
VL119155,15000,2978250,35441250
RT4698,4500,624750,17487750
RY71642,164250,3569250,44885250
VL212593,956250,7376250,46936500
KJ10557,163500,4218000,45221250
RY187694,5250,10500,1892250
RY212752,81750,3306000,42846000
VL133562,356250,2534250,19365000
RY33525,2820000,13600500,66033750
AR180213,11250,3879750,34877250
ED3746,647250,5286000,39711000
RY120361,16500,221250,16778250
RY199855,9000,2519250,30132000
AR5949,42750,781500,20246250
ED157529,769500,5001000,39156000
RT38151,204000,2578500,24600000
RY62853,24750,3111750,32546250
VL26107,8250,1083750,31272750
RT179781,17250,3164250,36115500
XC180405,1929000,10660500,60900000
AR121872,2370000,11969250,63498000
KJ152451,2389500,12283500,65752500
XC19480,3016500,14158500,70065750
KJ20930,2329500,10107750,48634500
KJ46766,864000,5243250,41721000
FT133129,14250,267750,13038000
RY159989,695250,5967750,48157500
RY71029,7500,24750,9944250
XC8404,11250,996750,19458750
AR185663,8250,16500,33000
ED125265,8250,2366250,29731500
FT119781,39000,1918500,23018250
KJ135339,1082250,6548250,47629500
XC196668,8250,16500,1923750
KJ50503,594750,4722750,37189500
RT42570,27000,4388250,42751500
FT193095,741750,5832000,45509250
KJ34923,8250,557250,17627250
RT139523,3000,2057250,26395500
AR144832,521250,4119750,40954500
RY59090,402000,2880750,28309500
AR31087,4500,9000,12800250
ED146777,651750,3955500,37650750
KJ109916,735750,4136250,31217250
RT83636,568500,5107500,45366750
RT98779,12750,1620750,30147000
ED178229,336000,4040250,39929250
RT76111,3329250,15207000,69069750
FT162027,437250,5338500,46799250
ED109556,111750,2196750,23503500
RT205245,486750,4935000,44578500
AR40053,24750,834000,21207000
VL152910,1419000,6897000,49251750
RT199160,222000,1885500,20667000
RT212177,429000,3811500,32237250
RT65553,8250,16500,6592500
ED216005,1500,1583250,22653000
KJ82822,1500,3000,2131500
ED119296,1144500,7377000,51734250
KJ32879,1838250,8124000,39955500
FT208069,63750,871500,11511750
RT82944,2022750,11164500,58490250
XC42952,739500,4555500,34341750
RY102722,609000,4914750,33619500
KJ63864,354750,3898500,40560750
VL50967,2243250,10230750,54041250
AR18316,2061000,9345750,51976500
AR42156,12000,42750,6012000
ED137680,425250,3352500,29069250
FT144716,228000,3809250,31426500
XC120551,873000,5457750,40039500
KJ200218,587250,5483250,45920250
RT138165,129000,2959500,28995750
VL111617,1809750,8610000,48746250
RT110321,207750,2517000,28478250
RY7181,750,1500,345750
XC136844,277500,3259500,31230000
AR165181,6750,431250,14981250
VL219240,84000,3674250,41997750
XC211820,58500,4327500,46422750
AR100179,6000,442500,18763500
KJ94723,9000,24750,10733250
KJ79097,2031750,8827500,43624500
RY133234,5250,10500,2778750
XC8626,5250,27750,4451250
AR181226,6000,12000,1932750
KJ182387,6000,2483250,29599500
RY160958,6000,30000,6305250
FT20986,7500,1138500,16315500
VL196806,12000,2031750,29741250
XC165850,11250,39000,13874250
AR8596,427500,3156750,30077250
RT154570,781500,5612250,41388000
XC15586,9750,1298250,24157500
XC37277,2029500,10018500,57192000
FT165568,3750,558000,14198250
RY120738,1546500,8652000,52701750
RY140541,822750,6267750,40915500
VL79713,1045500,7554000,47692500
VL69343,2250,839250,20465250
XC173700,2250,4500,12645750
ED85723,399000,3942000,33741750
RT162712,98250,3398250,32764500
XC14721,9750,878250,24155250
KJ181073,173250,758250,17976750
VL75676,11250,865500,21830250
XC154387,1680000,9087750,51369750
XC174915,4500,72000,8198250
AR186814,1815000,7074000,36308250
FT178801,668250,4477500,32811000
VL45633,376500,4047000,33119250
VL91993,761250,6146250,46842750
AR58480,72750,419250,4192500
FT158688,1571250,8203500,41001000
FT51458,12750,375750,20011500
RY175168,6000,924000,15268500
KJ129421,365250,3390000,29911500
RY44602,6750,13500,3018000
RT106683,429000,5114250,44977500
RY47514,1247250,7002750,41185500
VL198001,750,3750,1908750
KJ133199,15000,48000,10476750
KJ4205,7500,15750,3007500
ED28938,174750,1888500,23346000
RY25001,739500,5961750,42687750
RY55452,8250,1431750,27229500
KJ67106,1656000,9051750,44972250
ED101370,280500,2655750,34685250
RT48448,531000,6062250,43596000
RT109294,272250,3511500,37461000
XC183872,4500,2084250,29423250
XC170869,33750,1520250,19647000
XC218836,6750,16500,7611000
AR213154,750,741000,15364500
ED112224,12750,1582500,20124750
ED150070,1269000,6768750,42246750
VL82897,966750,5139750,36446250
KJ35845,276000,3409500,26523000
FT40468,574500,4366500,32907750
KJ32848,8250,182250,10042500
VL162121,28500,2580000,28703250
XC208852,1049250,4201500,22432500
FT125709,8250,381000,16033500
KJ139955,590250,5091000,37971750
XC115988,1729500,9276000,49190250
AR174760,2250,426000,22530000
FT70115,1743750,7993500,42039750
ED52086,3000,6000,4594500
FT128104,30750,444750,14516250
RT128928,6000,36000,3292500
VL197886,9750,1755750,27697500
XC158470,2086500,10182000,51804750
AR7850,470250,4351500,34956750
KJ143792,1997250,9639000,50138250
RT23933,2128500,11703750,61053000
VL144878,562500,2850000,22626000
XC115413,6750,13500,4488750
KJ213180,211500,2418000,29315250
RT73028,699000,5745750,44127000
AR127712,12750,92250,9737250
RT141701,264750,3354000,30585000
XC189850,15750,113250,21487500
XC60808,7500,179250,12633750
AR132116,345750,2058750,23720250
FT128845,8250,1147500,11481000
FT204998,10500,674250,19279500
RT64699,1404750,6363000,34394250
XC152991,1942500,10725000,54053250
KJ30292,1500,6000,7667250
RY143145,2250,912750,12922500
VL7375,618750,4875000,35607000
ED140685,2720250,11352750,46208250
RT142899,281250,1595250,19316250
RT180842,695250,3837750,27681750
FT92021,147750,725250,15503250
VL21491,4500,9000,3193500
AR123016,113250,3859500,30987750
RY188906,24000,1975500,21378000
XC57050,195750,1467750,17028750
AR113988,1137750,7329750,42163500
XC90842,337500,5422500,41552250
ED3637,1001250,5658750,40760250
FT33203,1572000,9690000,56058000
FT20339,750,1500,1334250
RY140180,18000,1750500,30222000
AR81604,1878000,7989000,43344750
FT90742,1515000,7947750,49193250
RT98649,413250,3870000,29952750
ED6352,90000,1472250,19703250
RY109244,3750,2697750,26823000
XC103385,2250,702750,10907250
VL116859,498000,4089750,31128750
KJ24931,3750,264000,7724250
AR116281,678750,3211500,20373750
ED80218,305250,1529250,20934000
FT212953,1155750,7214250,39684000
VL181621,4500,411000,11422500
KJ109473,6000,64500,10797750
ED169451,917250,5157000,33447000
KJ27888,49500,1211250,15396750
FT170105,8250,575250,12063750
FT82837,1008750,5316000,33915750
KJ130924,195000,3192000,31668000
KJ22454,942750,3964500,26481000
RY193696,993000,6767250,41985750
VL97967,9750,888000,15083250
AR116355,1946250,9558000,47043750
ED143981,60750,2674500,26096250
RY191818,322500,2742750,28234500
RT150110,260250,3257250,24202500
RY77623,2153250,9792000,49709250
VL213879,4500,294000,10402500
FT132076,10500,477000,16505250
RT31389,1408500,6738000,38169750
RY141417,508500,3597750,28053750
RY168630,2078250,9162000,46635750
XC195504,1176750,6266250,38629500
FT12053,877500,5293500,29574000
RY93978,630000,4308000,28792500
RT92016,408750,1907250,19926000
XC72865,605250,3554250,28053750
XC82140,8250,24750,1504500
AR21959,2750250,14171250,70114500
KJ134409,1847250,8975250,51340500
VL150248,7500,3057750,40555500
AR212681,2691000,12146250,55233000
ED167195,11250,2663250,28619250
FT50637,774000,3493500,20478000
KJ199540,2082750,10906500,57759000
RY8920,36000,2652000,39074250
VL168228,1428750,7479750,49806000
XC99476,861750,6384000,47283750
FT95700,536250,6037500,42349500
AR186887,573750,4116750,32323500
AR56942,241500,3659250,41779500
XC29649,5250,10500,828000
ED105047,3810750,17166750,80075250
KJ18813,6750,25500,19311750
RT140421,6750,13500,17700000
RY159613,6750,1752750,32563500
RY173263,833250,5124750,37873500
ED50620,750,1500,4533000
RT79244,3909000,17094750,78070500
FT114764,701250,4367250,31467000
KJ87539,987000,5710500,38376750
AR74408,2654250,14182500,71968500
VL25148,477750,3761250,33668250
VL49795,16500,3089250,40012500
XC24407,1475250,5909250,30345000
ED204252,2013750,10681500,56930250
VL219961,2866500,13252500,63994500
AR207501,269250,1678500,24044250
RY181984,7500,645750,18048750
FT161563,48000,2726250,30905250
RY78999,6750,716250,15986250
FT150955,750,6000,21576000
AR15002,914250,6623250,47749500
ED64221,28500,3338250,35572500
FT51748,18750,37500,8894250
VL33026,343500,2909250,27176250
RT9857,442500,5620500,51589500
RY129746,1500,14250,3711750
VL33608,1583250,8094000,47556000
KJ89107,1383750,7610250,52066500
ED38142,768000,3798750,32108250
VL77299,11250,2629500,30456750
FT54701,219000,4071000,37998000
KJ25457,3750,710250,14120250
FT10120,2127750,10491750,51618000
FT154418,4500,687750,21849750
VL36403,446250,5704500,47845500
RY152916,2873250,11514000,52774500
KJ168666,1575750,7379250,43162500
RT148240,1686000,9315000,51808500
RT181409,28500,1549500,29400750
ED166934,26250,712500,15381750
XC10293,2112750,11319000,61788750
AR7112,12750,530250,18651000
RT153176,8250,16500,8397750
ED66371,2250,865500,25878750
RY19579,744750,3905250,32091750
XC49818,2250,508500,13464750
KJ46588,3396750,16136250,73688250
ED169095,1963500,8562000,45039000
KJ108806,7500,20250,7490250
RT91647,4500,9000,7590000
RY194739,591750,5352750,43359750
FT39652,6000,986250,19626000
KJ113378,1083750,10017750,59285250
XC206408,6000,138750,5760750
KJ105263,1197000,6023250,38868750
VL2872,1499250,8708250,51770250
ED162978,16500,893250,16878750
KJ215490,1971750,7901250,44467500
AR116011,51750,4050000,40257750
RY117639,8250,3845250,41151750
RT166909,9750,939000,25348500
VL180166,7500,30000,7159500
AR88815,48000,1014750,22381500
ED1758,273750,5167500,40818750
ED215172,677250,5687250,42247500
RY54709,3750,360000,12581250
RT187112,410250,4212750,39361500
AR163681,4343250,18193500,75135000
ED9379,678750,4176000,32839500
KJ95414,6000,528750,9279750
RY183038,788250,3417000,22054500
RT197853,750,832500,17400000
KJ175660,7500,28500,6232500
RY36555,1927500,13607250,68005500
VL114932,7500,15000,1008750
KJ54126,502500,3381750,26022000
KJ127516,842250,4345500,29086500
RT10810,732750,5763750,49263000
RT92127,1500,3000,4545750
RY110949,79500,2636250,35352750
RT106772,1305000,8493750,50712750
VL116663,441750,3907500,33574500
FT44112,2802750,10592250,52658250
RY151355,3505500,16398000,73509750
KJ193022,1251750,6196500,38253000
RY50269,4500,9000,7239000
AR32612,5250,33000,10311000
ED190228,6750,374250,14950500
RY166385,586500,3905250,31292250
RY210567,2622000,11931000,52931250
AR182984,750,1500,7228500
FT186817,2968500,13218000,63323250
VL81824,5282250,21319500,83700000
VL91309,767250,4953750,33610500
VL127360,9750,393000,14739750
VL105725,18750,2394750,32213250
KJ97663,1296000,7086000,42401250
ED58593,1904250,8926500,45762750
VL2679,27000,1335000,26758500
RT60978,12000,2182500,25787250
ED31646,467250,2868000,28866750
XC33359,1032750,7693500,43592250
AR161359,1038000,6930000,41027250
AR66987,7500,789750,18437250
VL215168,1887000,9579000,52845000
AR37020,1098000,7391250,45818250
AR81957,1668000,8238750,47432250
KJ16148,2250,1016250,21471750
KJ169192,4500,552750,12732000
RY146049,1540500,8412000,49219500
RT184799,1170000,8964000,57657000
RY183905,5250,594000,16030500
AR184529,651000,4679250,39342750
KJ150806,406500,3129000,27021000
RT193815,841500,5583750,37776750
FT167575,15000,1647750,25530750
XC122879,507000,3826500,33189000
AR196226,1292250,6915000,42288000
ED188046,570750,4325250,37584750
KJ104421,1137000,4993500,32783250
VL65310,3750,612000,15626250
VL123566,1812750,10111500,53301000
AR103597,8250,369000,9011250
VL13886,8250,276750,10581000
XC31741,1398000,8229000,49670250
AR155990,1500,283500,9422250
RT131410,350250,2847000,23846250
RY115582,2291250,9500250,42998250
VL219227,16500,1032750,13287750
AR111870,1667250,7750500,41559750
AR199368,1271250,7083750,42246750
FT78414,1559250,8157750,42980250
RY123028,268500,4344000,37876500
FT158412,345750,2111250,18744000
RT155685,1491000,6276750,39474750
VL156833,93750,3171750,35175750
FT180744,6750,479250,7097250
FT97654,750,50250,8985000
VL134107,1374000,7861500,41763000
FT88928,93000,1386000,14940750
KJ151110,168750,1826250,16441500
RT100934,1178250,8769750,52305000
AR48867,413250,3157500,25381500
ED71769,648000,3175500,26317500
KJ3233,443250,3841500,32265000
RT201,3750,1850250,23843250
RT63833,1500,206250,13439250
XC49177,353250,2666250,24328500
VL180343,11250,1290750,17671500
XC100477,15750,138000,5161500
XC108507,3000,110250,11732250
VL6470,567000,4842750,40423500
AR73145,11250,225000,14432250
ED32045,1830000,9195750,50833500
FT97078,3911250,14646000,57387750
KJ92915,9750,2140500,27790500
RY161307,4500,553500,10100250
XC121266,9000,18000,6903750
FT76756,5250,651000,10763250
KJ38395,2628000,11339250,53126250
RY98478,5250,10500,6764250
VL188976,432750,3569250,30577500
AR44859,6000,12000,654750
ED32569,1645500,7271250,36924750
VL197009,621750,4197750,25626000
AR89741,473250,4585500,35520000
ED195505,472500,3896250,27717750
KJ59485,69750,2808000,26849250
XC203378,7500,96750,7735500
KJ161195,403500,3252750,20670000
RY160784,7500,15000,2871000
VL126003,7500,15000,4773000
XC131044,264000,2009250,17960250
ED175885,406500,2842500,25987500
FT105749,294750,3187500,22823250
KJ182037,663000,4302000,28075500
RT103766,3000,485250,8150250
RT25434,956250,6660000,46095000
FT37405,628500,4410000,30180000
KJ110646,8250,965250,15520500
KJ140246,877500,5392500,37938000
RT67646,9750,304500,9531750
KJ164487,966000,4815000,31812000
RY47218,6750,1299000,21418500
AR94876,1520250,7638000,40089750
FT88284,912000,5302500,33426750
ED26311,5250,402750,15652500
FT72064,24750,2447250,25740000
FT170286,3000,1989750,21579000
RT189990,417000,3645750,26283750
RT129678,12000,1848750,20496000
XC164072,432000,3504000,27528000
RT152158,5250,1211250,18514500
RY207036,330750,2022750,17262750
ED168519,12750,2676750,29777250
FT185423,917250,4212000,24513750
RT56501,750,1500,1323750
RT68210,331500,3264750,26312250
VL112700,12000,594000,18381000
AR56572,160500,1827000,23906250
ED35085,20250,617250,15085500
XC42939,14250,1313250,23457000
FT157992,1500,4500,3769500
RT181624,639000,3336750,25311000
XC21355,167250,1219500,16323750
KJ141880,2250,797250,13020750
AR84464,407250,2463750,18008250
RY143595,933000,5409000,33979500
RY40414,212250,2229000,18009000
RY62941,987750,3906750,26537250
VL37254,429750,2970000,28764750
ED205260,93750,1252500,15932250
FT28692,500250,4929000,36378750
ED188137,750,1500,4399500
XC115294,756000,5083500,30559500
KJ43782,515250,6082500,48003000
FT22884,316500,3168000,28665750
FT91560,387000,4344000,42860250
RT5113,65250,2481750,29054250
RY52901,2250,897000,22141500
ED161028,16500,3501000,36997500
XC89960,20250,2221500,37440000
XC174360,3750,1781250,29507250
AR71671,4500,30750,4126500
RT34987,3095250,15603750,69573750
RY85587,939000,5614500,42704250
FT21968,480750,5812500,49049250
VL139437,9750,3001500,37122000
XC203856,1422750,9009750,54123750
ED150363,939750,6146250,41691000
FT771,134250,3636750,42552750
ED34645,44250,1919250,21493500
RY146602,168000,2064750,28582500
ED142672,1011000,6900000,48572250
ED22847,686250,5056500,39514500
ED23716,2450250,10205250,48483750
ED2791,10500,306000,10503750
ED99774,4500,557250,17067000
KJ28470,4500,1163250,19015500
VL23558,4407750,18249000,78678000
AR144164,1871250,9036000,53969250
KJ8416,896250,5931750,44639250
AR25031,875250,5644500,47522250
RT147023,2451750,11682000,60764250
XC75294,829500,7246500,47226750
AR197089,27750,2844750,40124250
VL162394,750,649500,19496250
VL162428,750,1848750,27435750
VL180517,1848000,10067250,56934000
KJ176425,1728000,8972250,48061500
RY185401,17250,582750,19146000
ED90731,50250,2994000,38189250
RT50494,15750,378000,15927000
XC47878,366750,6147750,47362500
FT89038,76500,2269500,26930250
XC24353,624000,6732000,53738250
XC86898,100500,1476000,16328250
RY21461,23250,1120500,17232750
RT29165,3750,27750,12063750
AR140031,9000,1991250,30785250
RT175297,4500,3271500,37891500
RT83933,4500,1094250,17119500
AR154689,93000,6067500,50814000
FT141314,294000,3294750,35505750
VL86381,116250,3531750,39102750
AR73266,12750,107250,11568000
RY4020,6000,435750,10210500
AR61651,6750,126000,11427750
ED95441,374250,2892750,24483750
VL39616,1398000,7833000,49855500
XC52413,408000,3236250,26790750
AR30730,3024750,15456000,73646250
ED159083,308250,4077750,39810750
RT1456,582000,2454000,16191000
VL106328,8250,960750,22448250
VL76080,234000,2614500,28152750
AR170878,1500,271500,12378000
ED185989,14250,954000,18761250
FT182395,1663500,10657500,61721250
FT67941,2250,4500,4641000
VL61178,355500,3457500,34383000
FT84375,443250,4521750,37554750
RT98654,122250,2994000,35982000
RY166007,15000,962250,17360250
AR101645,12000,967500,20085000
ED129791,9750,3496500,35088000
FT69796,4500,646500,12943500
RT179434,1269750,8088000,47497500
FT53604,6000,12000,4214250
FT66118,77250,1950000,28503750
RY34282,1998750,10077000,55392000
VL52674,421500,3174000,28461750
